,source_file,value,taken time
0,TEST_C/NO STRONG/rot_reg.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.6715)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.6570)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.5433)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.5243)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.5227)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.5222)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.5021)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.5008)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.5003)}]",25.65777 sec
1,TEST_C/NO STRONG/neverused.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.9983)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.8758)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.8748)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.8702)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.8621)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.8379)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.8255)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.7964)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.7734)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.7476)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.7410)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.7276)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7089)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6946)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.6836)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.6709)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6543)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.6498)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6259)}]",26.42066 sec
2,TEST_C/NO STRONG/debug.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.9977)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.8238)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.7486)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.7462)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.7458)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.7444)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.7355)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.7348)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.7048)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7011)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.6878)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.6821)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.6669)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6544)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6382)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.6116)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.5772)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.5554)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.5424)}]",26.05527 sec
3,TEST_C/NO STRONG/iobuf.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.9996)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.9990)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.9985)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.9779)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.9709)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.8770)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.8477)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.8279)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.8230)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.8051)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.7820)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7511)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.7493)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.7479)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.7035)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.7003)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6906)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6888)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6747)}]",25.50866 sec

4,TEST_C/NON/http-client.c,[],25.26148 sec
5,TEST_C/NON/server.c,[],25.26379 sec
6,TEST_C/NON/client.c,[],25.31880 sec
7,TEST_C/NON/netcat_main.c,[],25.12662 sec

8,TEST_C/STRONG/iocccsize.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.5993)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.5574)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.5329)}]",27.71960 sec
9,TEST_C/STRONG/mkiocccentry.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.6396)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.6327)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.5014)}]",30.11078 sec
10,TEST_C/STRONG/txzchk.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.9702)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.7602)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.7521)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.7474)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.7471)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.7451)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.7283)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.7253)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.6826)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.6688)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.6634)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.6525)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.6451)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.6400)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.6318)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6185)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.5957)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.5864)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.5708)}]",28.01773 sec
11,TEST_C/STRONG/chkentry.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.9880)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.8030)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.7792)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.7743)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.7742)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.7717)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7689)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.7644)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.7565)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.7454)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.7328)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.7235)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.7225)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.7153)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.7039)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.6865)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.6386)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6283)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.6233)}]",26.85156 sec

12,TEST_C/COPY/binary-heap.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(1.0000)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.8285)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.8284)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.8260)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.8228)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.8035)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7625)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.7553)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.7524)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.7504)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.7274)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.7254)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.6876)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6853)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.6705)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6543)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.6465)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.6423)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6403)}]",26.49617 sec
13,TEST_C/COPY/arraylist.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(1.0000)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.9977)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.9959)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.9854)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.9732)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.8753)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.8451)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.8262)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.8260)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.8014)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.7804)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7532)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.7485)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.7428)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.7045)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.7003)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6935)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6878)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6767)}]",26.59258 sec
14,TEST_C/COPY/binomial-heap.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(1.0000)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.9993)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.9959)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.9663)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.9638)}, {'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(0.8783)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.8492)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.8285)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.8194)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.8076)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.7830)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.7514)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.7500)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7486)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.6985)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.6975)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6892)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6875)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6703)}]",26.63643 sec
15,TEST_C/COPY/avl-tree.c,"[{'file': 'OepnSource_C_c-algorithms-master_src_avl-tree', 'score': tensor(1.0000)}, {'file': 'OepnSource_C_c-algorithms-master_src_binomial-heap', 'score': tensor(0.8783)}, {'file': 'OepnSource_C_c-algorithms-master_src_set', 'score': tensor(0.8774)}, {'file': 'OepnSource_C_c-algorithms-master_src_arraylist', 'score': tensor(0.8753)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-string', 'score': tensor(0.8659)}, {'file': 'OepnSource_C_c-algorithms-master_src_bloom-filter', 'score': tensor(0.8490)}, {'file': 'OepnSource_C_c-algorithms-master_src_rb-tree', 'score': tensor(0.8269)}, {'file': 'OepnSource_C_c-algorithms-master_src_slist', 'score': tensor(0.7965)}, {'file': 'OepnSource_C_c-algorithms-master_src_list', 'score': tensor(0.7729)}, {'file': 'OepnSource_C_c-algorithms-master_src_binary-heap', 'score': tensor(0.7504)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-string', 'score': tensor(0.7459)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-table', 'score': tensor(0.7296)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-pointer', 'score': tensor(0.7109)}, {'file': 'OepnSource_C_c-algorithms-master_src_trie', 'score': tensor(0.6958)}, {'file': 'OepnSource_C_c-algorithms-master_src_sortedarray', 'score': tensor(0.6870)}, {'file': 'OepnSource_C_c-algorithms-master_src_queue', 'score': tensor(0.6697)}, {'file': 'OepnSource_C_c-algorithms-master_src_hash-int', 'score': tensor(0.6555)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-pointer', 'score': tensor(0.6523)}, {'file': 'OepnSource_C_c-algorithms-master_src_compare-int', 'score': tensor(0.6275)}]",26.60372 sec
